,# t (s),mx (),my (),mz (),MaxAngle (rad),phi (degree),f_RF (GHz)
16342,8.171058351285766e-08,0.9435363999999999,0.3022238,-0.005424216999999999,0.07840633400000001,15,3000000000.0
16343,8.171643640501366e-08,0.9422625,0.3067324,-0.0056733703,0.07872606,15,3000000000.0
16344,8.172082642442416e-08,0.9412603999999999,0.31021202,-0.0057795597,0.07827305,15,3000000000.0
16345,8.172521641743065e-08,0.9402306,0.3137272,-0.0058138366,0.077172995,15,3000000000.0
16346,8.173106878605777e-08,0.9388363000000001,0.31839174,-0.005745481,0.07469726,15,3000000000.0
16347,8.173545880307714e-08,0.93779165,0.32181665,-0.005608442700000001,0.07366705,15,3000000000.0
16348,8.174131366869984e-08,0.9364273999999999,0.32620195,-0.0053132796,0.07363789,15,3000000000.0
16349,8.17457038240689e-08,0.93544525,0.32929808,-0.005010591,0.07361519999999999,15,3000000000.0
16350,8.175009369726436e-08,0.9345146999999999,0.33218452,-0.0046418779999999995,0.073594935,15,3000000000.0
16351,8.17559458630946e-08,0.93337965,0.3356418,-0.0040552327,0.07357548,15,3000000000.0
16352,8.176033531741826e-08,0.9326253000000001,0.3378978,-0.0035507632000000003,0.073560074,15,3000000000.0
16353,8.176618665184827e-08,0.9317733,0.34039864,-0.002804145,0.07354548,15,3000000000.0
16354,8.177057645356772e-08,0.93126386,0.34186202,-0.0021974056,0.075752094,15,3000000000.0
16355,8.177643051383081e-08,0.9307749,0.34322447,-0.00134051,0.08325416,15,3000000000.0
16356,8.178081974078053e-08,0.9305601000000001,0.34378508,-0.00067264325,0.08832732,15,3000000000.0
16357,8.178520964606078e-08,0.93048066,0.34393996,7.813901e-06,0.092744336,15,3000000000.0
16358,8.17910626724621e-08,0.9305885,0.34350848,0.0009197624000000001,0.101133235,15,3000000000.0
16359,8.179545290720475e-08,0.9308291999999999,0.3427082,0.0015962520999999999,0.10817148,15,3000000000.0
16360,8.180130535388916e-08,0.9313573,0.34101987,0.0024720195,0.11656225,15,3000000000.0
16361,8.180569576913988e-08,0.9319011999999999,0.33930364,0.0030989444,0.12187051,15,3000000000.0
16362,8.181008550460048e-08,0.93256307,0.33722216,0.0036914244,0.12615763,15,3000000000.0
16363,8.181594068030689e-08,0.93361217,0.33391663,0.004415853,0.13009469999999998,15,3000000000.0
16364,8.182033103629141e-08,0.9345085,0.33107683,0.004901227,0.13164629,15,3000000000.0
16365,8.182618468514363e-08,0.93582517,0.32686886,0.0054604462,0.13188311,15,3000000000.0
16366,8.183057562206483e-08,0.9368860000000001,0.32344195,0.005807745699999999,0.13079306,15,3000000000.0
16367,8.183642851548662e-08,0.93837017,0.3185867,0.0061672386,0.12791714,15,3000000000.0
16368,8.184081856502384e-08,0.9395169,0.31478244,0.0063557330000000006,0.12492184,15,3000000000.0
16369,8.184520903681952e-08,0.9406768,0.31088558,0.0064727385,0.12142648,15,3000000000.0
16370,8.185106418233908e-08,0.9422204,0.30562073,0.0065163937,0.116324715,15,3000000000.0
16371,8.185545455027696e-08,0.94335854,0.30167878,0.0064653372,0.112409495,15,3000000000.0
16372,8.186130803337072e-08,0.9448281,0.29651326,0.006288290500000001,0.107360736,15,3000000000.0
16373,8.186569808565576e-08,0.94588083,0.29276147,0.006076946,0.10384288400000001,15,3000000000.0
16374,8.18700882122192e-08,0.94688076,0.28915924,0.0058019445,0.10063314,15,3000000000.0
16375,8.18759404939124e-08,0.948118,0.28465533,0.005343586,0.09685739,15,3000000000.0
16376,8.188033063623262e-08,0.94896567,0.2815455,0.004937239,0.09436748,15,3000000000.0
16377,8.188618507493137e-08,0.9499786,0.27781606,0.0043225363,0.0913913,15,3000000000.0
16378,8.189057505350642e-08,0.9506443000000001,0.27536774,0.0038148875,0.08931041,15,3000000000.0
16379,8.189642872906957e-08,0.95140076,0.27260977,0.0030880690999999997,0.08656169999999999,15,3000000000.0
16380,8.190081901622443e-08,0.9518664000000001,0.27094397,0.0025143323000000003,0.08439532,15,3000000000.0
16381,8.19052093951778e-08,0.95224327,0.26963758,0.0019237818,0.08204481,15,3000000000.0
16382,8.191106139769263e-08,0.9526058000000001,0.26846832,0.0011226053,0.078497596,15,3000000000.0
16383,8.191545130303322e-08,0.9527724,0.26802397,0.0005200709,0.07636629,15,3000000000.0
16384,8.192130538761082e-08,0.95285463,0.26800450000000003,-0.00027262548,0.077328235,15,3000000000.0
16385,8.192569510836527e-08,0.9528123,0.26841047,-0.00085055304,0.077786736,15,3000000000.0
16386,8.193008493053513e-08,0.95268273,0.26916423,-0.0014075852,0.07793386,15,3000000000.0
16387,8.193593843865664e-08,0.9523771999999999,0.27068326,-0.0021080826,0.0775078,15,3000000000.0
16388,8.194032878195046e-08,0.95205194,0.272183,-0.002595138,0.07806008,15,3000000000.0
16389,8.194618103413187e-08,0.9514965,0.27461913,-0.0031847022,0.07864037,15,3000000000.0
16390,8.195057128294176e-08,0.950994,0.27674103,-0.0035772405,0.07834924,15,3000000000.0
16391,8.195642612625583e-08,0.950218,0.27990973,-0.0040284283,0.07689883,15,3000000000.0
16392,8.196081650782605e-08,0.9495646000000001,0.28250095,-0.004309449,0.07499697,15,3000000000.0
16393,8.196520690160952e-08,0.9488566999999999,0.2852416,-0.004539478,0.07440196,15,3000000000.0
16394,8.197106080433404e-08,0.94784075,0.28907278,-0.0047652726,0.07450213,15,3000000000.0
16395,8.197545074391513e-08,0.9470347,0.29203653,-0.0048736376,0.07570719,15,3000000000.0
16396,8.198130241649393e-08,0.9459178,0.29604727,-0.0049378135999999994,0.076692946,15,3000000000.0
16397,8.198569201908021e-08,0.94505936,0.29906052,-0.0049273144,0.076724835,15,3000000000.0
16398,8.199008165980194e-08,0.94419324,0.30204445,-0.004868573,0.07609863,15,3000000000.0
16399,8.199593608421958e-08,0.94304216,0.30592954,-0.0047193593,0.07423419,15,3000000000.0
16400,8.200032597876144e-08,0.9421938,0.3087377,-0.0045581344,0.07468209,15,3000000000.0
16401,8.200617948155876e-08,0.9410987,0.31229650000000003,-0.004283861,0.07574973,15,3000000000.0
16402,8.201056921496969e-08,0.9403152,0.3147986,-0.00403864,0.07599193,15,3000000000.0
16403,8.201642088635552e-08,0.93933535,0.31787694,-0.0036668829999999997,0.07547039999999999,15,3000000000.0
16404,8.202081050210708e-08,0.9386572,0.31997338,-0.0033599802000000003,0.074421205,15,3000000000.0
16405,8.202519997478664e-08,0.93803406,0.32187364,-0.0030340252,0.07398866,15,3000000000.0
16406,8.203105445007737e-08,0.93729657,0.32408682,-0.0025774369,0.07393704,15,3000000000.0
16407,8.203544451571102e-08,0.9368178,0.32549718,-0.0022245017,0.073966086,15,3000000000.0
16408,8.204129846687492e-08,0.9362828999999999,0.32703945,-0.0017481354000000002,0.07455496,15,3000000000.0
16409,8.204568875001996e-08,0.93596035,0.32794175,-0.0013920007,0.07438031,15,3000000000.0
16410,8.205007872332039e-08,0.9357049999999999,0.32862859999999994,-0.0010412441,0.073770635,15,3000000000.0
16411,8.205593035266296e-08,0.93546695,0.32921767,-0.000588291,0.073725335,15,3000000000.0
16412,8.206031966143331e-08,0.93536234,0.32942387,-0.00026371938,0.07369377,15,3000000000.0
16413,8.206617428689973e-08,0.9353157,0.32940194,0.0001435083,0.07365247,15,3000000000.0
16414,8.207056442774687e-08,0.9353457000000001,0.3291771,0.0004264873,0.07362331,15,3000000000.0
16415,8.207641876144552e-08,0.9354646000000001,0.32862335,0.00077034545,0.07359008,15,3000000000.0
16416,8.208080859030689e-08,0.9356066999999999,0.32803547,0.0010012208,0.07356819,15,3000000000.0
16417,8.208519826529697e-08,0.9357894,0.32731584,0.0012079128,0.07355115,15,3000000000.0
16418,8.209104999752301e-08,0.93608713,0.32617766,0.0014450437,0.07352763,15,3000000000.0
16419,8.209544014862428e-08,0.9363453000000002,0.32520932,0.0015940974,0.07351708,15,3000000000.0
16420,8.210129440052514e-08,0.93672746,0.3237943,0.0017551759,0.07617855,15,3000000000.0
16421,8.210568505679203e-08,0.93703693,0.3226594,0.0018487942999999998,0.08158606,15,3000000000.0
16422,8.211007522421434e-08,0.93736166,0.32147714,0.0019203993,0.08670912,15,3000000000.0
16423,8.211592957869313e-08,0.9378127,0.31984973,0.0019842132,0.09286718,15,3000000000.0
16424,8.212031970564362e-08,0.93816036,0.31860694,0.0020105445,0.09682102,15,3000000000.0
16425,8.212617160809402e-08,0.9386315000000001,0.31694120000000003,0.0020205972,0.100979626,15,3000000000.0
16426,8.213056094870467e-08,0.9389879999999999,0.31569716,0.002012003,0.10334661,15,3000000000.0
16427,8.213641440061119e-08,0.93946433,0.31406048,0.0019830419,0.11010591,15,3000000000.0
16428,8.214080413986372e-08,0.9398205,0.31285816,0.0019509515,0.11451739999999999,15,3000000000.0
16429,8.214519393312847e-08,0.9401748999999999,0.31168267,0.001912286,0.11825616,15,3000000000.0
16430,8.215104789462691e-08,0.94064337,0.3101629,0.0018539315,0.1220508,15,3000000000.0
16431,8.215543762552058e-08,0.9409909,0.30906165,0.0018074898999999999,0.123921394,15,3000000000.0
16432,8.216128945657541e-08,0.941449,0.30764592,0.001745193,0.12507007,15,3000000000.0
16433,8.216567977120356e-08,0.9417886000000001,0.30662233,0.0017000613,0.124939546,15,3000000000.0
16434,8.217007012088236e-08,0.9421248,0.30562997,0.0016576768,0.12401828,15,3000000000.0
16435,8.217592418680402e-08,0.9425679,0.30435112,0.0016070995,0.12172481,15,3000000000.0
16436,8.218031454998327e-08,0.9428966000000001,0.30342140000000006,0.0015745185,0.11936948,15,3000000000.0
16437,8.21861694899163e-08,0.94333047,0.30221415,0.0015389421,0.11565879,15,3000000000.0
16438,8.219055999515008e-08,0.9436528000000001,0.30132845,0.0015182693,0.11263563,15,3000000000.0
16439,8.2196412133592e-08,0.9440782,0.30016723,0.0014982775,0.108539104,15,3000000000.0
16440,8.220080242362982e-08,0.94439447,0.29930633,0.0014882648999999999,0.105556175,15,3000000000.0
16441,8.220519267016773e-08,0.94470817,0.29845104,0.0014816422,0.10273410000000001,15,3000000000.0
16442,8.221104619162558e-08,0.9451215000000001,0.29731566,0.0014762604999999998,0.099286266,15,3000000000.0
16443,8.221543614842168e-08,0.9454277,0.29646617,0.0014731638,0.09694241,15,3000000000.0
16444,8.222129101646787e-08,0.94582963,0.29533526,0.0014675042000000002,0.09407796,15,3000000000.0
16445,8.222568123703173e-08,0.94612503,0.29449000000000003,0.0014600195999999999,0.09204792,15,3000000000.0
16446,8.223007132592735e-08,0.94641405,0.29364923,0.0014478576,0.090029925,15,3000000000.0
16447,8.223592298820018e-08,0.94678754,0.2925412,0.0014213299,0.08719917,15,3000000000.0
16448,8.224031312360865e-08,0.9470566999999999,0.29172522,0.0013914071,0.08484807,15,3000000000.0
16449,8.224616732359285e-08,0.94739795,0.29066846,0.0013349032,0.081237175,15,3000000000.0
16450,8.225055744087879e-08,0.9476378000000001,0.28990844,0.0012780216,0.07808225,15,3000000000.0
16451,8.225641245900411e-08,0.9479325000000001,0.28895357,0.0011801138,0.077273436,15,3000000000.0
16452,8.226080238906425e-08,0.9481315,0.28829327,0.0010886296,0.077884085,15,3000000000.0
16453,8.226519226322026e-08,0.9483087,0.28769138,0.0009806099,0.07818152,15,3000000000.0
16454,8.227104418909861e-08,0.94850713,0.28699774,0.0008098137,0.07793539999999999,15,3000000000.0
16455,8.227543396033732e-08,0.94862425,0.28657258,0.0006611929,0.07785497,15,3000000000.0
16456,8.228128664213168e-08,0.9487332,0.28615296,0.00043584312999999996,0.07866085,15,3000000000.0
16457,8.228567652497068e-08,0.94877636,0.28596213,0.00024701556,0.07849835599999999,15,3000000000.0
16458,8.22900666264404e-08,0.94878393,0.28588873,4.2136297000000004e-05,0.07761858,15,3000000000.0
16459,8.229592149059488e-08,0.9487341999999999,0.28598955,-0.0002539173,0.07531134,15,3000000000.0
16460,8.230031187886053e-08,0.94865,0.28622505,-0.0004909434400000001,0.07437068,15,3000000000.0
16461,8.230616404436291e-08,0.94847137,0.2867653,-0.00082314055,0.07504866,15,3000000000.0
16462,8.2310553775831e-08,0.9482860000000001,0.2873475,-0.0010814971,0.07611979,15,3000000000.0
16463,8.231640716517303e-08,0.947968,0.28836694,-0.0014332243,0.07728579,15,3000000000.0
16464,8.232079735885764e-08,0.94767576,0.28931612,-0.0016986981,0.07743772,15,3000000000.0
16465,8.232518731106428e-08,0.9473372999999999,0.29042324,-0.0019621581,0.07693218,15,3000000000.0
16466,8.233104256983876e-08,0.9468144000000001,0.29214159999999995,-0.0023048473999999998,0.07551781,15,3000000000.0
16467,8.233543295107493e-08,0.94637007,0.29360527,-0.002550968,0.07705617,15,3000000000.0
16468,8.234128524531637e-08,0.9457108,0.29577658,-0.002858259,0.07847099,15,3000000000.0
16469,8.234567569467603e-08,0.9451688,0.29755875,-0.0030689333000000004,0.07895159,15,3000000000.0
16470,8.235006589946163e-08,0.9445891,0.29945943,-0.003259036,0.07887522,15,3000000000.0
16471,8.235591883032581e-08,0.9437634,0.30215445,-0.0034753146999999996,0.07788562,15,3000000000.0
16472,8.236030880943982e-08,0.94310975,0.30427665,-0.0036060703000000004,0.076502115,15,3000000000.0
16473,8.23661635836404e-08,0.9422011999999998,0.30720857,-0.0037338038000000002,0.0761049,15,3000000000.0
16474,8.237055389019985e-08,0.94149905,0.30945894,-0.003791885,0.07695001,15,3000000000.0
16475,8.237640573394512e-08,0.94054663,0.31248945,-0.0038158663,0.077295825,15,3000000000.0
16476,8.238079576602945e-08,0.9398278,0.31475884,-0.0037921879999999997,0.076894164,15,3000000000.0
