# t (s)	mx ()	my ()	mz ()	MaxAngle (rad)	phi (degree)	f_RF (GHz)
1.1501289093657673e-09	0.97421795	0.0179497	0.01305214	0.02475654	0	4e+09
1.1551600331792392e-09	0.9742578	0.008758806	0.013201561	0.024931695	0	4e+09
1.1600234823564042e-09	0.97417885	-0.00013324291	0.013142452	0.025086626	0	4e+09
1.1650547253151536e-09	0.9739787	-0.009192699	0.012871866	0.025250053	0	4e+09
1.1700860243139056e-09	0.97366846	-0.017963614	0.012392722	0.025407735	0	4e+09
1.1751174458554649e-09	0.973265	-0.0263028	0.011712743	0.025555117	0	4e+09
1.18014894190126e-09	0.9727912	-0.03407458	0.010842851	0.025699336	0	4e+09
1.1850128617119975e-09	0.9722916	-0.040929873	0.0098345075	0.025821978	0	4e+09
1.1900445381858708e-09	0.9717605	-0.04723056	0.008634495	0.025939448	0	4e+09
1.1950761349167023e-09	0.97124535	-0.052627582	0.0072941184	0.026042657	0	4e+09
1.2001071043010745e-09	0.97077525	-0.05703527	0.0058352672	0.02612493	0	4e+09
1.2051376815627674e-09	0.970377	-0.060385223	0.004281642	0.026188742	0	4e+09
1.210000472581419e-09	0.9700811	-0.062569596	0.0027134907	0.02622741	0	4e+09
1.2150310130364645e-09	0.96988297	-0.063705735	0.0010484657	0.026245587	0	4e+09
1.2200616923964178e-09	0.96980435	-0.063683026	-0.0006330574	0.026370212	0	4e+09
1.2250923344327707e-09	0.96984714	-0.06250311	-0.002303371	0.02652798	0	4e+09
1.2301231110976435e-09	0.9700063	-0.060185675	-0.0039350786	0.026581855	0	4e+09
1.2351538891130953e-09	0.9702692	-0.05676833	-0.0055013695	0.026523484	0	4e+09
1.240016866351774e-09	0.9706043	-0.052470945	-0.006929154	0.026356647	0	4e+09
1.2450474027891194e-09	0.9710119	-0.04706643	-0.008293523	0.02608611	0	4e+09
1.2500780540628703e-09	0.9714543	-0.04077219	-0.009521577	0.02572252	0	4e+09
1.2551087531380313e-09	0.9719033	-0.033689246	-0.010593535	0.025360769	0	4e+09
1.2601394569692566e-09	0.9723301	-0.025931658	-0.011492261	0.025145963	0	4e+09
1.2650025776815252e-09	0.9726969	-0.017908912	-0.012182966	0.024929306	0	4e+09
1.270033506925672e-09	0.973007	-0.009198492	-0.012702364	0.024705922	0	4e+09
1.2750644749436606e-09	0.9732293	-0.00021030825	-0.013015385	0.024657618	0	4e+09
1.2800954717768156e-09	0.9733523	0.008909135	-0.013117313	0.024787823	0	4e+09
1.2851263201911362e-09	0.9733718	0.018010672	-0.013006826	0.024922129	0	4e+09
1.2901571823090987e-09	0.9732905	0.026946006	-0.012686009	0.025050959	0	4e+09
1.2950204245819858e-09	0.973125	0.03528857	-0.012181035	0.025174392	0	4e+09
1.3000514182499127e-09	0.9728784	0.04347703	-0.011465506	0.02530665	0	4e+09
1.3050824673544624e-09	0.9725756	0.051084846	-0.010565229	0.025431186	0	4e+09
1.3101136253289144e-09	0.97224015	0.057989113	-0.009494932	0.025552785	0	4e+09
1.3151448367280672e-09	0.97189754	0.064078696	-0.008272109	0.025669163	0	4e+09
1.3200083728041469e-09	0.9715838	0.06909919	-0.0069637946	0.025775766	0	4e+09
1.325039701803898e-09	0.9713006	0.07331666	-0.0055011734	0.025872717	0	4e+09
1.3300709053742233e-09	0.97108024	0.07647564	-0.003951106	0.025962418	0	4e+09
1.3351022415969833e-09	0.970939	0.078526966	-0.002338666	0.0260335	0	4e+09
1.3401335535209362e-09	0.9708875	0.07943894	-0.00069000723	0.026083827	0	4e+09
1.3451650402739457e-09	0.9709304	0.07919816	0.00096831477	0.026111236	0	4e+09
1.350028780438349e-09	0.97105914	0.077874005	0.0025553838	0.026111236	0	4e+09
1.355060343932949e-09	0.9712744	0.07539712	0.004155077	0.026083827	0	4e+09
1.3600919192220328e-09	0.9715588	0.07183431	0.0056866244	0.026022047	0	4e+09
1.3651236151242924e-09	0.9718928	0.06724284	0.007125633	0.025930254	0	4e+09
1.3701553965624898e-09	0.9722534	0.061696507	0.008449199	0.025805814	0	4e+09
1.3750194645697543e-09	0.9726036	0.05551118	0.009599128	0.025662195	0	4e+09
1.3800511716284128e-09	0.97294205	0.04836059	0.010636358	0.025482703	0	4e+09
1.385082890451072e-09	0.97323203	0.04055932	0.011502432	0.025283083	0	4e+09
1.3901146767557358e-09	0.97345203	0.032233365	0.01218358	0.025069987	0	4e+09
1.3951465491572661e-09	0.973584	0.023517517	0.0126689095	0.024845472	0	4e+09
1.4000106974397906e-09	0.9736167	0.01485457	0.012944522	0.024809457	0	4e+09
1.4050426591325644e-09	0.9735469	0.005788414	0.013024854	0.024962759	0	4e+09
1.4100746247703553e-09	0.9733724	-0.0032382961	0.0128954835	0.025115125	0	4e+09
1.4151065879307593e-09	0.97310126	-0.012079138	0.012558276	0.025259495	0	4e+09
1.4201384572154522e-09	0.9727476	-0.020590872	0.012018455	0.025396	0	4e+09
1.425002628331009e-09	0.9723462	-0.028377099	0.011312002	0.02551777	0	4e+09
1.43003451806848e-09	0.97189313	-0.03584887	0.010401569	0.025634306	0	4e+09
1.435066374051809e-09	0.97142833	-0.042609747	0.009323031	0.025736421	0	4e+09
1.4400982900812404e-09	0.97098047	-0.0485524	0.008093912	0.025824288	0	4e+09
1.4451301794831525e-09	0.9705774	-0.05358288	0.006734336	0.025902653	0	4e+09
1.4501622272914468e-09	0.9702448	-0.057622492	0.0052665705	0.025962418	0	4e+09
1.4550264876603709e-09	0.9700104	-0.060526215	0.0037676361	0.0260083	0	4e+09
1.4600583361312408e-09	0.9698736	-0.062449373	0.0021590006	0.0260335	0	4e+09
1.465090155788969e-09	0.9698538	-0.063244954	0.0005174744	0.026049523	0	4e+09
1.4701221705632008e-09	0.9699537	-0.062901594	-0.001130131	0.026040368	0	4e+09
1.475154168922168e-09	0.9701686	-0.061425652	-0.0027568843	0.026012883	0	4e+09
1.4800185025590912e-09	0.97047466	-0.05894489	-0.0042848215	0.025962418	0	4e+09
1.4850505116851294e-09	0.9708758	-0.055328403	-0.0057945205	0.025895746	0	4e+09
1.4900825723563255e-09	0.9713398	-0.0507012	-0.007208255	0.025801193	0	4e+09
1.495114535322625e-09	0.9718402	-0.045137398	-0.008503541	0.025683094	0	4e+09
1.5001465319469767e-09	0.97234833	-0.038725886	-0.009659998	0.025545785	0	4e+09
1.5050107988928918e-09	0.97281903	-0.031818904	-0.010628901	0.025391307	0	4e+09
1.5100428020965717e-09	0.973258	-0.024051862	-0.011461916	0.02521698	0	4e+09
1.515074779846775e-09	0.9736242	-0.015776446	-0.012110059	0.025027152	0	4e+09
1.520106788895877e-09	0.9738972	-0.0071264287	-0.0125633925	0.024831071	0	4e+09
1.5251389104086126e-09	0.9740626	0.0017581228	-0.012815018	0.02481186	0	4e+09
1.5300032712216798e-09	0.97411335	0.010433689	-0.012862957	0.024931695	0	4e+09
1.5350353559851357e-09	0.9740521	0.019356895	-0.012709925	0.02504858	0	4e+09
1.540067505994127e-09	0.97388077	0.028084679	-0.012353378	0.02516018	0	4e+09
1.5450996404626678e-09	0.9736122	0.03647552	-0.0117990505	0.02527129	0	4e+09
1.5501316789192955e-09	0.97326463	0.044393774	-0.011055819	0.025381915	0	4e+09
1.5551636914628308e-09	0.9728611	0.051712167	-0.010135544	0.025496734	0	4e+09
1.560028070063647e-09	0.9724418	0.05810632	-0.00909143	0.025597071	0	4e+09
1.5650601004422895e-09	0.9720045	0.063914515	-0.007868336	0.025706293	0	4e+09
1.570092097143261e-09	0.97158986	0.06881187	-0.006519264	0.025805814	0	4e+09
